QUALIFIED_OBJECT_NAME,COLUMN_NAME,ORDINAL_POSITION,DESCRIPTION
SALES_DB.PUBLIC.CUSTOMERS,CUSTOMER_ID,1,"Warehouse comment: surrogate key, customers table."
SALES_DB.PUBLIC.CUSTOMERS,FIRST_NAME,2,
SALES_DB.PUBLIC.CUSTOMERS,LAST_NAME,3,
SALES_DB.PUBLIC.CUSTOMERS,EMAIL,4,"Warehouse comment: contact email, unvalidated."
SALES_DB.PUBLIC.CUSTOMERS,PHONE,5,
SALES_DB.PUBLIC.CUSTOMERS,ADDRESS,6,
SALES_DB.PUBLIC.CUSTOMERS,CITY,7,
SALES_DB.PUBLIC.CUSTOMERS,STATE,8,
SALES_DB.PUBLIC.CUSTOMERS,ZIP_CODE,9,
SALES_DB.PUBLIC.CUSTOMERS,CREATED_AT,10,Warehouse comment: row insert timestamp (UTC).
SALES_DB.PUBLIC.ORDERS,ORDER_ID,1,Warehouse comment: order surrogate key.
SALES_DB.PUBLIC.ORDERS,CUSTOMER_ID,2,"Warehouse comment: surrogate key, customers table."
SALES_DB.PUBLIC.ORDERS,ORDER_DATE,3,
SALES_DB.PUBLIC.ORDERS,STATUS,4,Warehouse comment: free-text lifecycle state.
SALES_DB.PUBLIC.ORDERS,TOTAL_AMOUNT,5,
SALES_DB.PUBLIC.ORDERS,SHIPPING_ADDRESS,6,
SALES_DB.PUBLIC.ORDERS,CREATED_AT,7,Warehouse comment: row insert timestamp (UTC).
SALES_DB.PUBLIC.ORDER_ITEMS,ORDER_ITEM_ID,1,
SALES_DB.PUBLIC.ORDER_ITEMS,ORDER_ID,2,Warehouse comment: order surrogate key.
SALES_DB.PUBLIC.ORDER_ITEMS,PRODUCT_ID,3,
SALES_DB.PUBLIC.ORDER_ITEMS,QUANTITY,4,
SALES_DB.PUBLIC.ORDER_ITEMS,UNIT_PRICE,5,
SALES_DB.PUBLIC.PRODUCTS,PRODUCT_ID,1,
SALES_DB.PUBLIC.PRODUCTS,PRODUCT_NAME,2,
SALES_DB.PUBLIC.PRODUCTS,CATEGORY,3,
SALES_DB.PUBLIC.PRODUCTS,UNIT_PRICE,4,
SALES_DB.PUBLIC.PRODUCTS,SUPPLIER_ID,5,
SALES_DB.ANALYTICS.CUSTOMER_SEGMENTS,CUSTOMER_ID,1,"Warehouse comment: surrogate key, customers table."
SALES_DB.ANALYTICS.CUSTOMER_SEGMENTS,SEGMENT,2,
SALES_DB.ANALYTICS.CUSTOMER_SEGMENTS,LIFETIME_VALUE,3,
SALES_DB.ANALYTICS.CUSTOMER_SEGMENTS,LAST_SCORED_AT,4,
