column_name,data_product,table_count,description,assigned_to,status,origin,orphaned,updated_by,updated_at
AMOUNT,FINANCE_DB,1,"Invoice amount due, in USD.",Priya,Submitted,structure,False,Priya,2026-07-21
AMOUNT_PAID,FINANCE_DB,1,"Amount paid against the invoice, in USD.",Deepak,In progress,structure,False,Deepak,2026-07-20
CATEGORY,SALES_DB,1,Product category used for merchandising and reporting.,Marcus,Submitted,structure,False,Marcus,2026-07-19
CITY,SALES_DB,1,City component of the mailing address.,Elena,In progress,structure,False,Elena,2026-07-18
CREATED_AT,SALES_DB,2,Timestamp the record was first created.,Priya,Submitted,structure,False,Priya,2026-07-17
CUSIP,FINANCE_DB,4,Cross-system identifier linking finance records to a security or instrument.,Deepak,Approved,structure,False,Deepak,2026-07-16
CUSTOMER_ID,SALES_DB,4,Unique identifier for a customer account.,Marcus,Approved,structure,False,Marcus,2026-07-15
DEPARTMENT_ID,HR_DB,2,Unique identifier for an organizational department.,Elena,Approved,structure,False,Elena,2026-07-14
DEPARTMENT_NAME,HR_DB,1,Display name of the department.,Priya,Submitted,structure,False,Priya,2026-07-13
EMAIL,"HR_DB, SALES_DB",2,Primary email address on file.,Deepak,In progress,structure,False,Deepak,2026-07-12
EMPLOYEE_ID,HR_DB,2,Unique identifier for an employee record.,Marcus,Approved,structure,False,Marcus,2026-07-11
FIRST_NAME,"HR_DB, SALES_DB",2,Given name of the individual.,Elena,In progress,structure,False,Elena,2026-07-10
GROSS_PAY,HR_DB,1,"Gross pay before deductions, in USD.",Priya,Submitted,structure,False,Priya,2026-07-09
HIRE_DATE,HR_DB,1,Date the employee's current employment began.,Deepak,In progress,structure,False,Deepak,2026-07-08
INVOICE_DATE,FINANCE_DB,1,Date the invoice was issued.,Marcus,Submitted,structure,False,Marcus,2026-07-07
INVOICE_ID,FINANCE_DB,2,Unique identifier for a vendor invoice.,Elena,Approved,structure,False,Elena,2026-07-06
LAST_NAME,"HR_DB, SALES_DB",2,Family name of the individual.,Priya,Submitted,structure,False,Priya,2026-07-05
LIFETIME_VALUE,SALES_DB,1,"Modeled lifetime value of the customer, in USD.",Deepak,In progress,structure,False,Deepak,2026-07-04
MANAGER_ID,HR_DB,1,Employee ID of this employee's direct manager.,Marcus,Submitted,structure,False,Marcus,2026-07-03
NET_PAY,HR_DB,1,"Net pay after deductions, in USD.",Elena,In progress,structure,False,Elena,2026-07-02
ORDER_DATE,SALES_DB,1,Calendar date the order was placed.,Priya,Submitted,structure,False,Priya,2026-07-01
ORDER_ID,SALES_DB,2,Unique identifier for a customer order.,Deepak,Approved,structure,False,Deepak,2026-06-30
ORDER_ITEM_ID,SALES_DB,1,Unique identifier for a single line item on an order.,Marcus,Submitted,structure,False,Marcus,2026-06-29
PAYMENT_DATE,FINANCE_DB,1,Date the payment was made.,Elena,In progress,structure,False,Elena,2026-06-28
PAYMENT_ID,FINANCE_DB,1,Unique identifier for a payment record.,Priya,Submitted,structure,False,Priya,2026-06-27
PAYROLL_ID,HR_DB,1,Unique identifier for a payroll run line.,Deepak,In progress,structure,False,Deepak,2026-06-26
PAY_PERIOD,HR_DB,1,Pay period the payroll entry applies to (YYYY-MM).,Marcus,Submitted,structure,False,Marcus,2026-06-25
PHONE,SALES_DB,1,Primary phone number on file.,Elena,In progress,structure,False,Elena,2026-06-24
